Name,Club,Nationality,Position,Age,Matches,Starts,Mins,Goals,Assists,Goals_per_Match,Goals_per_90,Assists_per_Match,Assists_per_90,Goal_Contribution_per_90
Mason Mount,Chelsea,ENG,"MF,FW",21,36,32,2890,6,5,0.16666666666666666,0.18685121107266436,0.1388888888888889,0.15570934256055363,0.342560553633218
Edouard Mendy,Chelsea,SEN,GK,28,31,31,2745,0,0,0.0,0.0,0.0,0.0,0.0
Timo Werner,Chelsea,GER,FW,24,35,29,2602,6,8,0.17142857142857143,0.207532667179093,0.22857142857142856,0.2767102229054573,0.48424289008455035
Ben Chilwell,Chelsea,ENG,DF,23,27,27,2286,3,5,0.1111111111111111,0.11811023622047244,0.18518518518518517,0.1968503937007874,0.31496062992125984
Reece James,Chelsea,ENG,DF,20,32,25,2373,1,2,0.03125,0.03792667509481669,0.0625,0.07585335018963338,0.11378002528445007
Cesar Azpilicueta,Chelsea,ESP,DF,30,26,24,2188,1,2,0.038461538461538464,0.04113345521023766,0.07692307692307693,0.08226691042047532,0.12340036563071298
N'Golo Kante,Chelsea,FRA,MF,29,30,24,2146,0,2,0.0,0.0,0.06666666666666667,0.08387698042870456,0.08387698042870456
Jorginho,Chelsea,ITA,MF,28,28,23,2010,7,1,0.25,0.31343283582089554,0.03571428571428571,0.04477611940298507,0.3582089552238806
Thiago Silva,Chelsea,BRA,DF,35,23,23,1935,2,0,0.08695652173913043,0.09302325581395349,0.0,0.0,0.09302325581395349
Kurt Zouma,Chelsea,FRA,DF,25,24,22,2029,5,0,0.20833333333333334,0.22178413011335632,0.0,0.0,0.22178413011335632
Mateo Kovaƒçiƒá,Chelsea,CRO,MF,26,27,21,1815,0,1,0.0,0.0,0.037037037037037035,0.04958677685950413,0.04958677685950413
antonio rüdiger,Chelsea,GER,DF,27,19,19,1710,1,0,0.05263157894736842,0.052631578947368425,0.0,0.0,0.052631578947368425
Christian Pulisic,Chelsea,USA,"FW,MF",21,27,18,1738,4,2,0.14814814814814814,0.20713463751438435,0.07407407407407407,0.10356731875719218,0.3107019562715765
Kai Havertz,Chelsea,GER,"MF,FW",21,27,18,1520,4,3,0.14814814814814814,0.23684210526315788,0.1111111111111111,0.17763157894736842,0.41447368421052627
Andreas Christensen,Chelsea,DEN,DF,24,17,15,1371,0,0,0.0,0.0,0.0,0.0,0.0
Hakim Ziyech,Chelsea,MAR,"FW,MF",27,23,15,1172,2,3,0.08695652173913043,0.15358361774744028,0.13043478260869565,0.2303754266211604,0.3839590443686007
Tammy Abraham,Chelsea,ENG,FW,22,22,12,1040,6,1,0.2727272727272727,0.5192307692307693,0.045454545454545456,0.08653846153846154,0.6057692307692308
Marcos Alonso,Chelsea,ESP,DF,29,13,11,960,2,0,0.15384615384615385,0.1875,0.0,0.0,0.1875
Callum Hudson-Odoi,Chelsea,ENG,"FW,DF",19,23,10,1059,2,3,0.08695652173913043,0.16997167138810199,0.13043478260869565,0.254957507082153,0.42492917847025496
Olivier Giroud,Chelsea,FRA,FW,33,17,8,748,4,0,0.23529411764705882,0.48128342245989303,0.0,0.0,0.48128342245989303
Kepa Arrizabalaga,Chelsea,ESP,GK,25,7,6,585,0,0,0.0,0.0,0.0,0.0,0.0
Billy Gilmour,Chelsea,SCO,MF,19,5,3,261,0,0,0.0,0.0,0.0,0.0,0.0
Willy Caballero,Chelsea,ARG,GK,38,1,1,90,0,0,0.0,0.0,0.0,0.0,0.0
Ruben Loftus-Cheek,Chelsea,ENG,FW,24,1,1,60,0,0,0.0,0.0,0.0,0.0,0.0
Emerson Palmieri,Chelsea,ITA,DF,25,2,0,90,0,0,0.0,0.0,0.0,0.0,0.0
Fikayo Tomori,Chelsea,ENG,DF,22,1,0,45,0,0,0.0,0.0,0.0,0.0,0.0
Ross Barkley,Chelsea,ENG,MF,26,2,0,42,0,0,0.0,0.0,0.0,0.0,0.0
Ederson,Manchester City,BRA,GK,26,36,36,3240,0,1,0.0,0.0,0.027777777777777776,0.027777777777777776,0.027777777777777776
ruben dias,Manchester City,POR,DF,23,32,32,2843,1,0,0.03125,0.03165670066830813,0.0,0.0,0.03165670066830813
Rodri,Manchester City,ESP,MF,24,34,31,2748,2,2,0.058823529411764705,0.06550218340611354,0.058823529411764705,0.06550218340611354,0.13100436681222707
Raheem Sterling,Manchester City,ENG,FW,25,31,28,2536,10,7,0.3225806451612903,0.35488958990536273,0.22580645161290322,0.24842271293375395,0.6033123028391167
joao cancelo,Manchester City,POR,DF,26,28,27,2299,2,3,0.07142857142857142,0.078294910830796,0.10714285714285714,0.117442366246194,0.19573727707699
Bernardo Silva,Manchester City,POR,"MF,FW",25,26,24,2065,2,6,0.07692307692307693,0.08716707021791767,0.23076923076923078,0.261501210653753,0.3486682808716707
İlkay Gündoğan,Manchester City,GER,MF,29,28,23,2029,13,2,0.4642857142857143,0.5766387382947264,0.07142857142857142,0.08871365204534254,0.665352390340069
Kevin De Bruyne,Manchester City,BEL,MF,29,25,23,1997,6,12,0.24,0.27040560841261896,0.48,0.5408112168252379,0.8112168252378569
Riyad Mahrez,Manchester City,ALG,FW,29,27,23,1949,9,6,0.3333333333333333,0.41559774243201647,0.2222222222222222,0.27706516162134426,0.6926629040533607
Gabriel Jesus,Manchester City,BRA,FW,23,29,22,2063,9,4,0.3103448275862069,0.39263208919049924,0.13793103448275862,0.17450315075133302,0.5671352399418322
Kyle Walker,Manchester City,ENG,DF,30,24,22,1946,1,1,0.041666666666666664,0.046248715313463515,0.041666666666666664,0.046248715313463515,0.09249743062692703
John Stones,Manchester City,ENG,DF,26,22,22,1933,4,0,0.18181818181818182,0.18623900672529747,0.0,0.0,0.18623900672529747
Phil Foden,Manchester City,ENG,"FW,MF",20,28,17,1616,9,5,0.32142857142857145,0.5012376237623762,0.17857142857142858,0.2784653465346535,0.7797029702970297
Oleksandr Zinchenko,Manchester City,UKR,DF,23,20,15,1478,0,0,0.0,0.0,0.0,0.0,0.0
Ferran Torres,Manchester City,ESP,"FW,MF",20,24,15,1306,7,2,0.2916666666666667,0.4823889739663093,0.08333333333333333,0.13782542113323124,0.6202143950995406
Aymeric Laporte,Manchester City,FRA,DF,26,16,14,1344,0,0,0.0,0.0,0.0,0.0,0.0
Fernandinho,Manchester City,BRA,MF,35,21,12,1188,0,2,0.0,0.0,0.09523809523809523,0.15151515151515152,0.15151515151515152
Benjamin Mendy,Manchester City,FRA,DF,26,13,11,953,2,1,0.15384615384615385,0.1888772298006296,0.07692307692307693,0.0944386149003148,0.2833158447009444
Nathan Ake,Manchester City,NED,DF,25,10,9,797,1,0,0.1,0.11292346298619824,0.0,0.0,0.11292346298619824
Sergio Agüero,Manchester City,ARG,"FW,MF",32,12,7,559,4,1,0.3333333333333333,0.6440071556350626,0.08333333333333333,0.16100178890876565,0.8050089445438282
Eric Garcia,Manchester City,ESP,DF,19,6,3,383,0,0,0.0,0.0,0.0,0.0,0.0
Scott Carson,Manchester City,ENG,GK,34,1,1,90,0,0,0.0,0.0,0.0,0.0,0.0
Zack Steffen,Manchester City,USA,GK,25,1,1,90,0,0,0.0,0.0,0.0,0.0,0.0
Liam Delap,Manchester City,ENG,FW,17,1,0,40,0,0,0.0,0.0,0.0,0.0,0.0
Bruno Fernandes,Manchester United,POR,MF,25,37,35,3099,18,12,0.4864864864864865,0.5227492739593418,0.32432432432432434,0.34849951597289447,0.8712487899322362
Aaron Wan-Bissaka,Manchester United,ENG,DF,22,34,34,3060,2,4,0.058823529411764705,0.058823529411764705,0.11764705882352941,0.11764705882352941,0.1764705882352941
Harry Maguire,Manchester United,ENG,DF,27,34,34,3047,2,1,0.058823529411764705,0.0590744995077125,0.029411764705882353,0.02953724975385625,0.08861174926156876
Marcus Rashford,Manchester United,ENG,FW,22,37,33,2920,11,9,0.2972972972972973,0.339041095890411,0.24324324324324326,0.2773972602739726,0.6164383561643836
Luke Shaw,Manchester United,ENG,DF,25,32,30,2654,1,5,0.03125,0.03391107761868877,0.15625,0.16955538809344387,0.20346646571213264
Victor Lindelof,Manchester United,SWE,DF,26,29,29,2585,1,1,0.034482758620689655,0.03481624758220503,0.034482758620689655,0.03481624758220503,0.06963249516441006
Fred,Manchester United,BRA,MF,27,30,27,2390,1,0,0.03333333333333333,0.03765690376569038,0.0,0.0,0.03765690376569038
David de Gea,Manchester United,ESP,GK,29,26,26,2295,0,0,0.0,0.0,0.0,0.0,0.0
Scott McTominay,Manchester United,SCO,MF,23,32,24,2129,4,1,0.125,0.1690934711131987,0.03125,0.042273367778299674,0.21136683889149835
